year,product,num_papers
2022,Isobutanol,9
2023,Isobutanol,5
2000,3-hydroxypropionic acid,0
2001,3-hydroxypropionic acid,0
2002,3-hydroxypropionic acid,0
2003,3-hydroxypropionic acid,0
2004,3-hydroxypropionic acid,0
2005,3-hydroxypropionic acid,0
2006,3-hydroxypropionic acid,0
2007,3-hydroxypropionic acid,0
2008,3-hydroxypropionic acid,0
2009,3-hydroxypropionic acid,1
2010,3-hydroxypropionic acid,0
2011,3-hydroxypropionic acid,0
2012,3-hydroxypropionic acid,0
2013,3-hydroxypropionic acid,4
2014,3-hydroxypropionic acid,3
2015,3-hydroxypropionic acid,6
2016,3-hydroxypropionic acid,7
2017,3-hydroxypropionic acid,8
2018,3-hydroxypropionic acid,8
2019,3-hydroxypropionic acid,4
2020,3-hydroxypropionic acid,5
2021,3-hydroxypropionic acid,5
2022,3-hydroxypropionic acid,4
2023,3-hydroxypropionic acid,13
2000,L-lysine,1
2001,L-lysine,0
2002,L-lysine,0
2003,L-lysine,0
2004,L-lysine,0
2005,L-lysine,1
2006,L-lysine,0
2007,L-lysine,3
2008,L-lysine,0
2009,L-lysine,0
2010,L-lysine,2
2011,L-lysine,4
2012,L-lysine,0
2013,L-lysine,3
2014,L-lysine,3
2015,L-lysine,2
2016,L-lysine,7
2017,L-lysine,8
2018,L-lysine,5
2019,L-lysine,4
2020,L-lysine,6
2021,L-lysine,4
2022,L-lysine,6
2023,L-lysine,6
2000,Pyruvic acid,0
2001,Pyruvic acid,0
2002,Pyruvic acid,0
2003,Pyruvic acid,1
2004,Pyruvic acid,0
2005,Pyruvic acid,6
2006,Pyruvic acid,1
2007,Pyruvic acid,1
2008,Pyruvic acid,1
2009,Pyruvic acid,3
2010,Pyruvic acid,1
2011,Pyruvic acid,1
2012,Pyruvic acid,5
2013,Pyruvic acid,2
2014,Pyruvic acid,3
2015,Pyruvic acid,4
2016,Pyruvic acid,4
2017,Pyruvic acid,8
2018,Pyruvic acid,3
2019,Pyruvic acid,1
2020,Pyruvic acid,7
2021,Pyruvic acid,5
2022,Pyruvic acid,1
2023,Pyruvic acid,4
2000,Acetoin,0
2001,Acetoin,0
2002,Acetoin,0
2003,Acetoin,0
2004,Acetoin,0
2005,Acetoin,0
2006,Acetoin,0
2007,Acetoin,0
2008,Acetoin,0
2009,Acetoin,0
2010,Acetoin,2
2011,Acetoin,0
2012,Acetoin,1
2013,Acetoin,5
2014,Acetoin,5
2015,Acetoin,4
2016,Acetoin,8
2017,Acetoin,6
2018,Acetoin,10
2019,Acetoin,5
2020,Acetoin,5
2021,Acetoin,3
2022,Acetoin,3
2023,Acetoin,4
2000,Squalene,0
2001,Squalene,0
2002,Squalene,0
2003,Squalene,0
2004,Squalene,0
2005,Squalene,0
2006,Squalene,0
2007,Squalene,0
2008,Squalene,0
2009,Squalene,0
2010,Squalene,0
2011,Squalene,0
2012,Squalene,1
2013,Squalene,1
2014,Squalene,2
2015,Squalene,4
2016,Squalene,4
2017,Squalene,3
2018,Squalene,6
2019,Squalene,4
2020,Squalene,10
2021,Squalene,5
2022,Squalene,11
2023,Squalene,4
2000,Lactate,1
2001,Lactate,1
2002,Lactate,1
2003,Lactate,0
2004,Lactate,1
2005,Lactate,3
2006,Lactate,1
2007,Lactate,2
2008,Lactate,1
2009,Lactate,2
2010,Lactate,2
2011,Lactate,2
2012,Lactate,2
2013,Lactate,2
2014,Lactate,5
2015,Lactate,4
2016,Lactate,2
2017,Lactate,3
2018,Lactate,2
2019,Lactate,2
2020,Lactate,2
2021,Lactate,3
2022,Lactate,8
2023,Lactate,3
2000,Succinate,0
2001,Succinate,1
2002,Succinate,0
2003,Succinate,0
2004,Succinate,1
2005,Succinate,0
2006,Succinate,1
2007,Succinate,1
2008,Succinate,1
2009,Succinate,1
2010,Succinate,3
2011,Succinate,2
2012,Succinate,1
2013,Succinate,4
2014,Succinate,2
2015,Succinate,4
2016,Succinate,6
2017,Succinate,5
2018,Succinate,5
2019,Succinate,3
2020,Succinate,4
2021,Succinate,1
2022,Succinate,3
2023,Succinate,4
2000,P-coumaric acid,0
2001,P-coumaric acid,0
2002,P-coumaric acid,0
2003,P-coumaric acid,0
2004,P-coumaric acid,0
2005,P-coumaric acid,0
2006,P-coumaric acid,0
2007,P-coumaric acid,1
2008,P-coumaric acid,0
2009,P-coumaric acid,0
2010,P-coumaric acid,0
2011,P-coumaric acid,1
2012,P-coumaric acid,1
2013,P-coumaric acid,0
