organisms,product,number of study
P. pastoris,Succinate,0
P. pastoris,P-coumaric acid,0
P. pastoris,Butyric acid,0
P. pastoris,Hydrogen,0
P. pastoris,Acetone,0
P. pastoris,Malic acid,1
P. pastoris,Astaxanthin,0
P. pastoris,"1,3-propanediol",0
P. pastoris,L-tryptophan,0
P. pastoris,L-phenylalanine,0
P. pastoris,5-aminolevulinic acid,0
P. pastoris,Riboflavin,0
P. pastoris,Geraniol,1
P. pastoris,Itaconic acid,0
P. putida,Ethanol,0
P. putida,Lactic acid,3
P. putida,Succinic acid,0
P. putida,"2,3-butanediol",0
P. putida,Glycerol,0
P. putida,Butanol,0
P. putida,Xylitol,0
P. putida,Acetic acid,0
P. putida,Lycopene,2
P. putida,Isobutanol,1
P. putida,L-lysine,0
P. putida,Pyruvic acid,0
P. putida,3-hydroxypropionic acid,0
P. putida,Acetoin,0
P. putida,Squalene,0
P. putida,Lactate,2
P. putida,Succinate,1
P. putida,P-coumaric acid,1
P. putida,Butyric acid,0
P. putida,Hydrogen,0
P. putida,Acetone,0
P. putida,Malic acid,0
P. putida,Astaxanthin,0
P. putida,"1,3-propanediol",0
P. putida,L-tryptophan,0
P. putida,L-phenylalanine,0
P. putida,5-aminolevulinic acid,0
P. putida,Riboflavin,0
P. putida,Geraniol,1
P. putida,Itaconic acid,0
C. acetobutylicum,Ethanol,18
C. acetobutylicum,Lactic acid,5
C. acetobutylicum,Succinic acid,1
C. acetobutylicum,"2,3-butanediol",1
C. acetobutylicum,Glycerol,1
C. acetobutylicum,Butanol,34
C. acetobutylicum,Xylitol,0
C. acetobutylicum,Acetic acid,5
C. acetobutylicum,Lycopene,0
C. acetobutylicum,Isobutanol,0
C. acetobutylicum,L-lysine,0
C. acetobutylicum,Pyruvic acid,0
C. acetobutylicum,3-hydroxypropionic acid,0
C. acetobutylicum,Acetoin,4
C. acetobutylicum,Squalene,0
C. acetobutylicum,Lactate,1
C. acetobutylicum,Succinate,0
C. acetobutylicum,P-coumaric acid,0
C. acetobutylicum,Butyric acid,7
C. acetobutylicum,Hydrogen,1
C. acetobutylicum,Acetone,16
C. acetobutylicum,Malic acid,0
C. acetobutylicum,Astaxanthin,0
C. acetobutylicum,"1,3-propanediol",0
C. acetobutylicum,L-tryptophan,0
C. acetobutylicum,L-phenylalanine,0
C. acetobutylicum,5-aminolevulinic acid,0
C. acetobutylicum,Riboflavin,0
C. acetobutylicum,Geraniol,0
C. acetobutylicum,Itaconic acid,0
K. marxianus,Ethanol,7
K. marxianus,Lactic acid,5
K. marxianus,Succinic acid,0
K. marxianus,"2,3-butanediol",0
K. marxianus,Glycerol,2
K. marxianus,Butanol,0
K. marxianus,Xylitol,7
K. marxianus,Acetic acid,1
K. marxianus,Lycopene,0
K. marxianus,Isobutanol,0
K. marxianus,L-lysine,0
K. marxianus,Pyruvic acid,0
K. marxianus,3-hydroxypropionic acid,0
K. marxianus,Acetoin,0
K. marxianus,Squalene,0
K. marxianus,Lactate,0
K. marxianus,Succinate,0
K. marxianus,P-coumaric acid,0
K. marxianus,Butyric acid,0
K. marxianus,Hydrogen,0
K. marxianus,Acetone,0
K. marxianus,Malic acid,0
K. marxianus,Astaxanthin,1
K. marxianus,"1,3-propanediol",0
K. marxianus,L-tryptophan,0
K. marxianus,L-phenylalanine,1
K. marxianus,5-aminolevulinic acid,0
K. marxianus,Riboflavin,0
K. marxianus,Geraniol,0
K. marxianus,Itaconic acid,0
B. licheniformis,Ethanol,2
B. licheniformis,Lactic acid,2
B. licheniformis,Succinic acid,0
B. licheniformis,"2,3-butanediol",8
B. licheniformis,Glycerol,2
B. licheniformis,Butanol,0
B. licheniformis,Xylitol,0
B. licheniformis,Acetic acid,3
B. licheniformis,Lycopene,0
B. licheniformis,Isobutanol,1
B. licheniformis,L-lysine,0
B. licheniformis,Pyruvic acid,0
B. licheniformis,3-hydroxypropionic acid,0
B. licheniformis,Acetoin,4
B. licheniformis,Squalene,0
B. licheniformis,Lactate,1
B. licheniformis,Succinate,0
B. licheniformis,P-coumaric acid,0
B. licheniformis,Butyric acid,0
B. licheniformis,Hydrogen,0
B. licheniformis,Acetone,0
B. licheniformis,Malic acid,0
B. licheniformis,Astaxanthin,0
B. licheniformis,"1,3-propanediol",0
B. licheniformis,L-tryptophan,0
B. licheniformis,L-phenylalanine,0
B. licheniformis,5-aminolevulinic acid,0
B. licheniformis,Riboflavin,0
B. licheniformis,Geraniol,0
B. licheniformis,Itaconic acid,0
