gene,product,number of article
kivd,3-hydroxypropionic acid,0
ilvc,3-hydroxypropionic acid,0
arob,3-hydroxypropionic acid,0
fdh,3-hydroxypropionic acid,0
glms,3-hydroxypropionic acid,0
yqhd,3-hydroxypropionic acid,0
tal,3-hydroxypropionic acid,0
acea,3-hydroxypropionic acid,0
ldha,acetoin,6
pta,acetoin,3
adhe,acetoin,6
poxb,acetoin,1
ptsg,acetoin,0
acka,acetoin,1
pflb,acetoin,2
iclr,acetoin,0
phea,acetoin,0
tyrr,acetoin,0
pykf,acetoin,0
pyka,acetoin,0
laci,acetoin,0
pgi,acetoin,0
lacz,acetoin,0
fadd,acetoin,0
acka-pta,acetoin,3
ppc,acetoin,0
frda,acetoin,1
zwf,acetoin,0
pfka,acetoin,1
tyra,acetoin,0
yqhd,acetoin,1
fade,acetoin,0
tnaa,acetoin,0
xyla,acetoin,0
mgsa,acetoin,0
meta,acetoin,0
wcaj,acetoin,0
arok,acetoin,0
tkta,acetoin,0
arog,acetoin,0
arogfbr,acetoin,0
ppc,acetoin,0
idi,acetoin,0
ppsa,acetoin,0
pntab,acetoin,0
dxs,acetoin,0
glk,acetoin,0
4cl,acetoin,0
acs,acetoin,0
tyra,acetoin,0
zwf,acetoin,0
glta,acetoin,0
atob,acetoin,0
galp,acetoin,0
arol,acetoin,0
phea,acetoin,0
tyrafbr,acetoin,0
alss,acetoin,1
crte,acetoin,0
chs,acetoin,0
kivd,acetoin,0
ilvc,acetoin,0
arob,acetoin,0
fdh,acetoin,0
glms,acetoin,0
yqhd,acetoin,0
tal,acetoin,0
acea,acetoin,0
